ID,rec
3,0
7,1
9,0
10,1
11,1
19,1
21,0
23,1
29,0
30,0
32,1
34,1
37,0
38,0
41,0
42,1
43,1
44,1
51,0
54,0
56,1
57,0
59,0
61,1
63,0
65,0
67,1
68,1
71,1
73,0
74,1
77,0
78,0
80,1
83,0
85,0
86,1
87,1
92,0
95,0
99,0
100,0
101,0
103,1
106,0
109,1
110,1
112,1
113,1
118,0
121,0
132,1
133,1
138,0
140,1
142,0
143,0
147,0
148,1
150,1
152,0
154,0
155,1
158,0
159,0
163,0
168,1
170,0
172,0
179,0
181,0
182,0
188,1
191,0
192,1
195,0
199,0
200,1
204,0
206,1
207,1
208,1
214,0
217,1
220,1
222,0
225,1
227,1
228,0
232,0
233,0
240,1
243,0
246,0
248,1
249,0
252,1
255,1
258,0
262,0
263,0
269,0
271,1
272,1
280,0
285,0
290,0
294,1
299,0
302,0
307,0
312,0
315,0
316,0
317,0
318,0
320,1
321,1
322,1
323,0
325,1
326,0
327,1
330,0
335,1
347,0
348,1
349,1
352,0
360,0
362,1
374,1
376,1
379,1
380,0
382,0
384,0
386,1
387,1
390,1
391,0
393,0
397,1
406,0
407,0
409,0
410,1
414,1
415,0
417,1
424,1
426,0
428,0
429,1
430,1
433,0
438,0
440,0
443,1
448,1
450,1
456,1
460,0
464,1
465,0
466,0
468,1
469,0
470,0
472,1
474,0
476,1
482,0
485,1
487,1
490,1
492,0
497,0
498,0
499,0
503,0
505,1
506,0
510,1
511,1
515,0
518,1
520,0
521,0
530,0
531,1
536,1
537,0
541,0
544,1
545,1
546,0
548,1
554,0
559,1
562,0
569,1
571,1
572,0
576,1
579,0
583,0
585,0
587,0
588,0
589,1
592,1
593,0
595,0
596,0
598,1
599,1
601,0
604,0
607,1
609,0
610,0
611,0
618,0
622,1
623,1
627,0
629,1
634,1
636,1
639,1
641,0
643,0
644,1
645,0
656,0
662,1
666,0
667,1
670,0
671,1
674,0
676,1
677,0
680,1
681,0
684,0
686,0
687,1
689,0
690,0
691,1
692,1
695,1
696,1
702,0
703,1
705,0
707,1
711,0
714,0
715,0
716,1
718,0
723,1
732,0
734,0
737,1
743,0
748,1
750,1
757,0
759,0
765,1
767,1
770,0
773,0
