ID,rec
3,1
7,1
9,0
10,1
11,0
19,0
21,1
23,0
29,1
30,0
32,1
34,0
37,0
38,1
41,1
42,0
43,1
44,1
51,0
54,1
56,0
57,0
59,0
61,0
63,0
65,0
67,0
68,0
71,0
73,0
74,1
77,0
78,1
80,0
83,0
85,0
86,0
87,0
92,0
95,0
99,0
100,1
101,0
103,0
106,1
109,0
110,0
112,0
113,0
118,0
121,1
132,0
133,1
138,0
140,0
142,0
143,0
147,0
148,1
150,0
152,0
154,0
155,0
158,0
159,0
163,0
168,0
170,0
172,0
179,1
181,1
182,0
188,0
191,0
192,0
195,1
199,1
200,0
204,0
206,1
207,0
208,0
214,0
217,1
220,0
222,0
225,1
227,0
228,1
232,1
233,0
240,1
243,1
246,0
248,0
249,0
252,1
255,1
258,0
262,1
263,0
269,0
271,0
272,0
280,0
285,1
290,0
294,1
299,0
302,0
307,1
312,0
315,1
316,0
317,1
318,1
320,0
321,0
322,0
323,0
325,0
326,0
327,0
330,1
335,0
347,0
348,0
349,1
352,1
360,0
362,0
374,0
376,0
379,0
380,0
382,1
384,0
386,0
387,0
390,0
391,0
393,1
397,1
406,0
407,0
409,0
410,1
414,0
415,0
417,0
424,0
426,0
428,0
429,0
430,0
433,1
438,0
440,1
443,0
448,0
450,1
456,0
460,0
464,1
465,0
466,0
468,0
469,0
470,0
472,0
474,0
476,0
482,0
485,0
487,0
490,1
492,1
497,0
498,0
499,0
503,0
505,0
506,0
510,0
511,0
515,0
518,1
520,0
521,0
530,0
531,1
536,0
537,1
541,1
544,1
545,0
546,0
548,1
554,1
559,1
562,0
569,0
571,0
572,1
576,0
579,0
583,0
585,0
587,1
588,0
589,0
592,1
593,0
595,0
596,1
598,0
599,1
601,0
604,0
607,0
609,0
610,0
611,1
618,0
622,1
623,1
627,0
629,1
634,1
636,1
639,0
641,0
643,0
644,0
645,0
656,1
662,0
666,1
667,0
670,0
671,0
674,0
676,0
677,1
680,1
681,0
684,0
686,0
687,1
689,1
690,1
691,0
692,0
695,0
696,1
702,0
703,0
705,0
707,0
711,0
714,0
715,0
716,0
718,1
723,0
732,0
734,0
737,1
743,0
748,1
750,0
757,1
759,0
765,0
767,0
770,1
773,1
777,0
779,0
782,0
786,0
787,0
790,1
794,1
798,0
800,0
801,1
802,1
803,1
804,0
807,0
808,0
811,0
819,0
823,0
824,0
826,0
828,1
835,0
841,1
844,0
849,0
860,0
864,0
865,0
867,1
872,1
877,0
879,0
881,0
886,1
893,0
896,0
897,1
900,0
901,1
906,0
907,0
912,0
913,0
920,0
921,0
925,0
928,1
930,0
936,1
941,1
945,0
946,0
952,0
953,0
958,0
960,0
964,0
967,1
968,0
974,1
975,0
976,1
980,0
981,0
985,0
989,0
991,1
995,0
1000,0
1003,0
1004,0
1008,0
1014,1
1016,1
1021,0
1024,1
1027,0
1032,0
1034,0
1035,0
1036,1
1039,0
1041,0
1050,0
1052,1
1056,1
1057,0
1061,0
1062,1
1064,0
1069,0
1072,1
1073,1
1075,1
1080,1
1081,1
1086,0
1089,1
1090,0
1093,0
1096,0
1100,1
1104,0
1113,0
1116,0
1118,0
1120,1
1122,0
1123,1
1124,0
1126,0
1129,0
1131,0
1134,0
1139,1
1140,1
1142,0
1149,0
1151,0
1152,0
1153,1
1156,1
1159,1
1162,0
1171,0
1172,0
1175,0
1177,0
1182,1
1183,0
1185,1
1187,0
1188,0
1189,0
1190,1
1193,0
1198,1
1200,0
1203,0
1214,1
1218,0
1219,0
1220,1
1222,1
1224,0
1231,0
1236,0
1238,0
1243,0
1245,1
1246,0
1247,0
1250,0
1251,0
1252,0
1254,0
1256,0
1259,1
1262,0
1263,0
1265,1
1268,0
1270,0
1272,1
1273,0
1276,1
1279,0
1280,0
1283,0
1285,0
1288,0
1297,0
1299,0
1302,0
1313,0
1315,1
1317,0
1326,0
1327,0
1330,0
1335,0
1338,0
1341,0
1343,1
1346,1
1347,0
1355,1
1356,0
1363,0
1364,0
1365,1
1366,1
1368,1
1374,0
1375,0
1378,0
1379,0
1380,0
1382,0
1383,0
1385,1
1388,0
1389,0
1390,0
1393,0
1407,1
1409,1
1410,1
1414,1
1417,0
1419,0
1422,1
1423,0
1424,0
1426,0
1427,0
1430,1
1431,1
1438,0
1440,0
1453,0
1455,1
1457,0
1460,0
1464,1
1466,1
1471,0
1478,0
1479,0
1480,0
1481,0
1485,0
1486,1
1492,0
1494,0
1495,1
1498,0
1501,0
1513,0
1521,1
1523,0
1524,0
1530,0
1534,0
1536,0
1539,1
1544,0
1545,0
1550,1
1551,1
1561,0
1564,1
1573,0
1575,0
1576,0
1580,0
1582,1
1583,1
1590,0
1591,0
1595,1
1610,0
1611,1
1612,1
1613,0
1620,0
1621,0
1623,0
1625,0
1626,0
1628,1
1634,0
1638,0
1639,0
1641,0
1644,1
1645,1
1646,1
1649,0
1653,0
1654,0
1657,1
1660,1
1662,0
1664,0
1666,0
1669,1
1672,0
1673,0
1677,0
1682,0
1683,0
1684,0
1688,0
1690,0
1691,0
1692,0
1694,1
1699,0
1703,1
1709,0
1712,1
1713,0
1714,0
1716,0
1718,0
1719,0
1720,1
1728,0
1731,0
1732,0
1733,0
1739,0
1740,0
1742,0
1743,0
1744,1
1745,0
1746,1
1753,0
1755,0
1759,1
1765,0
1768,0
1770,0
1773,0
1779,0
1784,0
1785,0
1786,1
1789,0
1792,0
1794,0
1799,0
1800,0
1802,1
1803,1
1804,0
1806,0
1808,0
1812,1
1814,0
1817,0
1820,0
1821,0
1829,0
1831,1
1840,0
1841,0
1842,0
1852,0
1859,0
1861,0
1862,0
1867,1
1868,0
1875,1
1876,1
1880,0
1881,1
1884,1
1886,0
1893,0
1897,0
1902,0
1904,0
1909,0
1916,0
1917,0
1923,1
1924,1
1926,1
1927,0
1929,0
1930,0
1938,0
1945,0
1948,1
1956,0
1960,0
1961,1
1963,0
1966,1
1972,0
1974,0
1976,0
1978,0
1983,0
1988,0
1989,0
1992,1
1998,1
2000,0
2003,0
2004,1
2007,1
2009,0
2010,0
2016,0
2019,0
2022,0
2027,1
2028,0
2030,0
2035,0
2038,0
2039,0
2042,0
2047,0
2051,0
2052,0
2053,1
2058,1
2059,0
2063,0
2074,0
2077,0
2080,1
2081,0
2090,0
2092,1
2095,1
2097,0
2100,1
2102,0
2104,0
2106,0
2109,0
2110,0
2114,0
2115,0
2116,0
2118,0
2123,1
2125,1
2129,0
2131,1
2132,0
2136,1
2138,0
2141,0
2144,0
2146,0
2151,0
2154,0
2155,0
2160,1
2161,0
2163,0
2164,0
2166,0
2175,1
2192,0
2194,1
2196,0
2197,0
2202,1
2204,0
2210,0
2211,0
2213,1
2214,1
2215,0
2218,1
2220,0
2228,1
2229,0
2230,0
2231,0
2233,1
2235,0
2241,0
2243,0
2245,1
2246,0
2248,1
2250,0
2254,0
2255,0
2260,0
2261,0
2263,1
2275,0
2277,0
2279,0
2280,1
2283,1
2284,1
2288,1
2293,1
2294,1
2295,0
2296,0
2306,1
2307,1
2310,0
2311,1
2317,0
2321,0
2325,1
2326,1
2327,0
2329,0
2333,0
2336,0
2337,1
2341,0
2342,0
2343,0
2344,0
2345,1
2347,0
2352,0
2360,1
2363,0
2367,0
2374,0
2377,1
2379,1
2383,1
2384,0
2385,1
2386,0
2397,1
2398,0
2401,0
2404,0
2409,1
2412,0
2414,0
2419,0
2421,0
2425,1
2426,0
2427,0
2435,0
2438,0
2439,1
2443,0
2444,1
2446,0
2466,1
2468,0
2471,0
2475,0
2476,0
2477,0
2482,0
2485,1
2490,0
2492,0
2493,0
2496,0
2497,0
2504,0
2505,0
2507,0
2511,0
2512,0
2515,0
2518,0
2521,1
2527,0
2532,1
2537,0
2538,0
2539,1
2544,1
2550,0
2551,0
2552,0
2553,0
2555,0
2557,0
2558,0
2560,0
2561,0
2567,0
2572,1
2579,0
2583,1
2585,0
2586,1
2587,1
2593,0
2599,1
2602,0
2606,0
2611,0
2613,1
2614,0
2615,1
2616,1
2622,0
2626,0
2627,0
2629,0
2631,1
2633,1
2635,0
2636,1
2638,1
2639,0
2640,0
2649,0
2650,1
2651,0
2658,0
2664,0
2670,0
2672,0
2674,0
2675,0
2678,1
2680,1
2683,0
2687,0
2689,0
2692,0
2693,0
2695,0
2697,1
2699,0
2703,0
2709,1
2717,0
2718,1
2719,1
2720,1
2722,0
2724,1
2725,0
2732,0
2733,0
2735,0
2736,0
2737,0
2742,1
2744,0
2749,0
2750,1
2752,0
2754,0
2755,0
2757,0
2759,0
2762,0
2765,0
2768,1
2770,1
2771,1
2777,0
2781,0
2782,1
2785,0
2786,0
2790,1
2791,0
2797,0
2800,0
2801,0
2802,0
2803,0
2804,0
2807,1
2808,0
2816,0
2818,0
2820,0
2824,0
2827,0
2834,0
2837,0
2838,1
2839,0
2846,0
2850,0
2853,0
2855,1
2861,1
2862,0
2864,1
2867,0
2871,1
2880,0
2885,0
2888,0
2893,0
2901,0
2914,0
2918,0
2920,0
2924,0
2926,0
2930,0
2934,0
2936,1
2943,0
2945,0
2946,0
2947,0
2948,0
2950,1
2951,0
2955,1
2956,0
2959,0
2960,0
2961,0
2966,0
2969,0
2970,1
2976,0
2980,0
2986,1
2988,1
2989,1
2990,0
2993,1
2995,0
2996,1
3009,0
3011,0
3012,0
3013,1
3019,1
3020,0
3021,0
3024,0
3030,0
3031,0
3034,1
3037,0
3038,0
3039,0
3040,0
3042,0
3045,0
3047,1
3048,0
3049,0
3050,0
3052,0
3060,0
3061,0
3062,0
3064,0
3065,0
3068,0
3072,0
3073,0
3078,0
3079,0
3085,1
3087,1
3090,0
3099,0
3107,1
3109,0
3112,0
3116,1
3120,1
3123,0
3130,0
3132,0
3133,1
3134,0
3135,0
3136,1
3142,0
3144,0
3145,1
3147,0
3149,0
3153,0
3156,0
3161,0
3163,1
3165,0
3172,1
3178,0
3180,0
3181,0
3183,1
3186,1
3187,1
3190,0
3191,1
3193,0
3194,0
3200,0
3206,0
3213,0
3219,1
3222,0
3225,0
3226,1
3227,0
3228,0
3229,1
3231,0
3232,1
3235,0
3237,1
3240,0
3241,1
3245,1
3247,0
3249,0
3252,1
3254,0
3257,0
3259,0
3261,0
3263,1
3265,0
3266,0
3267,1
3268,0
3269,1
3270,0
3272,1
3273,1
3287,0
3289,0
3291,0
3299,1
3312,0
3314,0
3315,1
3316,0
3319,1
3321,1
3322,0
3323,0
3324,0
3326,0
3328,1
3331,1
3332,0
3333,1
3338,1
3342,0
3343,0
3346,0
3347,0
3348,0
3349,0
3350,0
3354,0
3355,0
3359,0
3360,0
3363,0
3365,0
3369,0
3370,1
3374,0
3376,1
3377,0
3382,0
3385,0
3386,0
3387,0
3389,0
3395,0
3397,0
3403,1
3404,1
3405,0
3409,1
3410,0
3420,1
3424,0
3425,0
3429,0
3430,0
3431,0
3434,0
3437,1
3441,0
3442,0
3443,0
3444,0
3450,0
3451,0
3452,0
3453,1
3456,0
3461,0
3464,0
3466,0
3471,1
3472,0
3477,1
3479,0
3480,0
3485,1
3486,0
3488,0
3489,0
3491,0
3494,0
3495,1
3497,1
3500,0
3504,0
3505,0
3507,1
3510,0
3514,0
3516,1
3520,0
3522,1
3523,1
3527,0
3534,0
3536,0
3540,0
3541,0
3543,0
3552,1
3553,0
3555,0
3556,0
3557,0
3566,0
3570,0
3571,0
3573,0
3576,0
3578,0
3579,0
3585,0
3591,0
3594,1
3598,0
3599,1
3602,0
3603,0
3608,0
3612,1
3614,0
3616,0
3623,1
3624,1
3626,0
3628,0
3629,0
3637,0
3642,0
3650,0
3651,0
3653,0
3655,0
3656,0
3658,0
3659,1
3663,0
3665,0
3666,0
3674,0
3675,0
3678,0
3688,1
3691,0
3695,0
3700,1
3701,0
3705,0
3706,0
3707,1
3711,1
3712,0
3713,1
3714,1
3715,0
3722,0
3725,0
3726,0
3731,1
3735,1
3736,0
3741,1
3743,1
3744,0
3746,0
3747,1
3748,0
3749,0
3752,0
3754,0
3757,0
3762,0
3770,0
3771,0
3773,0
3778,0
3779,0
3785,0
3786,0
3787,0
3793,1
3795,1
3797,0
3798,1
3800,1
3814,0
3821,0
3823,0
3827,0
3830,0
3835,0
3840,0
3843,1
3846,0
3847,1
3849,0
3850,0
3852,0
3853,0
3871,0
3876,1
3878,1
3880,0
3881,1
3883,0
3886,1
3888,0
3897,0
3902,0
3908,0
3910,0
3914,0
3915,0
3916,0
3920,0
3921,1
3923,0
3924,0
3926,1
3931,0
3932,1
3933,0
3937,0
3943,0
3950,1
3954,0
3955,1
3963,0
3965,0
3966,1
3967,1
3968,1
3970,1
3972,0
3973,1
3979,0
3980,1
3984,0
3985,0
3989,0
4003,0
4007,0
4011,0
4014,1
4015,0
4017,1
4019,1
4031,1
4035,1
4040,0
4041,0
4042,0
4046,1
4047,1
4049,0
4053,0
4058,0
4065,1
4067,0
4074,0
4077,1
4078,0
4086,0
4087,0
4089,0
4091,0
4096,1
4097,1
4114,1
4122,1
4125,0
4128,1
4130,0
4141,1
4143,0
4145,1
4147,0
4148,0
4149,0
4150,0
4151,1
4154,1
4159,0
4166,0
4168,1
4169,0
4171,1
4177,0
4180,0
4182,0
4187,0
4189,0
4190,0
4192,1
4195,1
4197,0
4199,0
4200,0
4202,0
4206,0
4209,0
4214,0
4215,1
4217,0
4222,0
4224,0
4234,0
4236,0
4238,0
4242,0
4251,1
4252,0
4253,0
4256,1
4257,1
4265,0
4269,1
4277,1
4284,1
4285,0
4286,0
4287,1
4288,0
4294,1
4295,0
4297,0
4300,0
4306,1
4313,0
4314,1
4315,1
4317,0
4320,1
4321,0
4335,1
4337,0
4338,0
4340,0
4344,0
4348,0
4350,0
4351,1
4354,0
4360,0
4366,0
4371,0
4372,0
4373,0
4376,0
4378,0
4389,1
4390,0
4391,1
4392,1
4397,0
4405,0
4407,0
4410,1
4411,0
4413,0
4414,1
4415,1
4418,1
4421,0
4422,0
4423,1
4425,0
4427,0
4428,0
4430,0
4431,0
4432,0
4434,0
4436,1
4438,0
4441,0
4445,1
4447,0
4448,1
4453,0
4455,0
4456,0
4457,0
4459,0
4461,0
4463,0
4464,0
4469,1
4470,0
4478,0
4480,0
4481,0
4483,0
4485,1
4486,0
4492,0
4493,1
4497,0
4502,0
4504,0
4506,0
4511,0
4512,0
4515,0
4516,0
4520,1
4523,1
4524,1
4525,1
4529,0
4530,0
4538,0
4543,0
4545,0
4548,0
4551,1
4553,0
4554,0
4555,1
4556,0
4557,0
4559,1
4563,0
4565,0
4567,0
4569,0
4573,1
4574,1
4576,0
4579,0
4585,0
4586,0
4592,0
4594,0
4596,0
4597,0
4602,0
4605,1
4607,1
4610,0
4614,0
4616,0
4619,1
4627,1
4628,0
4630,1
4631,0
4633,0
4638,1
4640,0
4648,0
4651,1
4653,0
4656,0
4660,1
4663,0
4669,0
4679,0
4681,0
4682,1
4685,0
4687,0
4688,1
4689,0
4696,1
4697,0
4700,0
4703,0
4705,0
4712,1
4713,0
4719,0
4725,0
4729,0
4732,0
4737,0
4744,0
4748,0
4757,0
4758,0
4761,0
4769,1
4772,0
4775,1
4776,0
4777,0
4782,0
4783,0
4785,0
4787,0
4791,0
4797,0
4803,0
4815,0
4818,1
4819,0
4823,0
4829,1
4831,1
4843,0
4850,0
4852,0
4859,0
4861,1
4863,0
4867,0
4872,1
4875,0
4879,0
4880,0
4883,0
4884,0
4895,0
4904,0
4906,0
4909,1
4915,1
4917,0
4918,0
4919,0
4922,0
4924,0
4925,0
4927,1
4930,1
4935,0
4937,1
4943,1
4949,0
4952,0
4954,0
4956,0
4957,0
4958,1
4962,0
4964,1
4967,1
4972,0
4974,0
4975,0
4976,0
4977,1
4983,0
4984,1
4987,0
4989,0
4994,0
4995,0
4997,0
4998,0
5003,0
5004,0
5005,1
5010,0
5011,0
5013,1
5016,0
5023,0
5024,0
5025,1
5026,0
5035,0
5041,0
5046,0
5048,0
5050,0
5051,0
5053,1
5056,0
5057,0
5065,0
5066,0
5069,1
5071,1
5072,0
5075,0
5076,1
5077,1
5078,0
5082,1
5085,0
5086,1
5087,1
5088,1
5090,0
5091,0
5092,0
5096,1
5097,0
5100,0
5103,1
5104,1
5105,0
5106,0
5114,0
5115,1
5119,0
5120,0
5121,1
5125,1
5126,1
5127,0
5128,0
5130,1
5133,1
5135,0
5137,1
5142,1
5143,0
5144,1
5145,0
5146,0
5149,0
5153,1
5158,0
5172,0
5179,1
5180,1
5182,0
5183,0
5187,0
5189,1
5191,0
5195,0
5198,0
5200,1
5202,0
5204,0
5209,0
5211,0
5213,0
5215,1
5219,0
5226,1
5229,1
5233,0
5239,1
5244,0
5249,0
5252,0
5255,1
5257,0
5258,1
5264,0
5265,0
5268,0
5270,1
5271,0
5272,0
5278,0
5283,0
5284,0
5287,0
5290,0
5291,0
5292,0
5293,0
5294,0
5296,0
5297,0
5300,0
5302,0
5304,1
5305,1
5307,1
5313,0
5315,0
5322,1
5324,0
5329,1
5331,0
5332,0
5333,0
5336,0
5338,1
5339,0
5342,0
5345,1
5347,0
5353,1
5354,1
5355,0
5356,0
5360,0
5361,0
5363,1
5371,0
5373,0
5376,0
5377,1
5378,0
5381,0
5382,0
5383,0
5390,1
5392,0
5396,0
5399,0
5400,0
5402,1
5403,0
5404,0
5406,0
5408,1
5410,0
5411,0
5413,0
5414,1
5416,1
5420,0
5427,1
5428,1
5429,0
5430,0
5433,0
5434,0
5437,1
5439,0
5444,0
5445,0
5449,0
5460,1
5461,0
5462,0
5467,0
5468,0
5470,0
5471,1
5475,0
5478,1
5479,0
5480,0
5481,1
5483,1
5486,0
5489,1
5490,0
5491,0
5493,0
5496,1
5500,0
5502,0
5505,0
5506,0
5508,0
5516,0
5519,0
5520,0
5521,0
5523,0
5524,0
5528,0
5535,0
5541,1
5544,0
5545,0
5546,0
5552,0
5557,0
5559,0
5560,0
5561,0
5563,1
5569,0
5572,0
5576,0
5579,0
5580,0
5581,0
5584,0
5587,1
5588,0
5592,0
5596,0
5598,0
5599,0
5604,0
5611,1
5617,0
5618,0
5623,0
5629,1
5632,1
5633,1
5636,0
5638,0
5640,0
5642,0
5644,0
5645,0
5648,0
5650,1
5657,0
5662,0
5663,0
5664,0
5667,0
5670,0
5671,0
5677,0
5678,0
5681,0
5685,1
5691,0
5693,1
5694,1
5696,0
5697,0
5701,0
5702,1
5706,0
5707,0
5710,0
5711,0
5712,1
5713,1
5715,0
5721,0
5723,0
5724,0
5732,0
5735,0
5739,1
5740,0
5741,1
5742,0
5744,0
5751,1
5752,0
5757,1
5759,0
5766,0
5767,0
5768,1
5770,0
5776,0
5782,1
5785,0
5792,0
5798,0
5801,0
5805,0
5814,0
5816,0
5821,0
5824,0
5831,1
5834,1
5838,0
5839,0
5841,1
5842,0
5844,0
5846,0
5849,0
5853,1
5855,1
5856,1
5858,0
5863,0
5868,0
5869,1
5872,0
5876,0
5878,0
5880,0
5889,1
5894,0
5895,0
5896,0
5899,0
5901,0
5905,1
5907,0
5908,1
5912,0
5915,0
5918,0
5924,0
5925,1
5928,0
5929,1
5930,0
5932,1
5935,0
5945,0
5952,0
5953,1
5954,1
5956,0
5962,1
5966,0
5967,0
5979,1
5980,1
5986,0
5988,0
5992,1
5995,1
5998,0
6000,0
